// DeviceID, IP, Port, TagName, Address, DataType, ScanRate, Area, IsFavorite, Length(Regs)
// --- Peripheral Status (周边墩子状态) ---,,,,,,,,,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityDay1,1102, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityDay2,1104, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityDay3,1106, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityDay4,1108, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityDay5,1110, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityDay6,1112, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityDay7,1114, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityDay8,1116, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityDay9,1118, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityDay10,1120, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityDay11,1122, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityNight0,1124, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityNight1,1126, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityNight2,1128, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityNight3,1130, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityNight4,1132, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityNight5,1134, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityNight6,1136, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityNight7,1138, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityNight8,1140, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityNight9,1142, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityNight10,1144, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_CapacityNight11,1146, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_StandbyTimeMin,1110, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_FaultTimeMin,1120, Int32,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_FaultCount,1130, Int16,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_MixingQty,1140, Int16,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_ScanNGQty,1150, Int16,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_SysFeedbackQty,1160, Int16,1000, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_Trigger,730, Int16,200, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_Result,731, Int16,200, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_Reset,732, Int16,200, Registers, False,
PLC_Flipper,10.120.93.89,502, PLC_Flipper_Hourly_ChangeoverTrigger,733, Int16,200, Registers, False,
